STT,Tên đầy đủ,Mã chứng khoán,Sàn niêm yết
195,CÔNG TY CỔ PHẦN KỸ NGHỆ ĐÔ THÀNH,DTT,HOSE
196,CÔNG TY CỔ PHẦN ĐỊA ỐC SÀI GÒN THƯƠNG TÍN,SCR,HOSE
197,Công ty Cổ phần Thủy điện Miền Nam,SHP,HOSE
198,CTCP Xây dựng Coteccons,CTD,HOSE
199,CTCP Phát Triển BĐS Phát Đạt,PDR,HOSE
200,CTCP Đầu tư thương mại SMC,SMC,HOSE
201,CTCP Tập đoàn Masan,MSN,HOSE
202,CTCP Đầu tư Năm Bảy Bảy,NBB,HOSE
203,CTCP DRH HOLDINGS,DRH,HOSE
204,CTCP Tập đoàn Yeah1,YEG,HOSE
205,CTCP Cấp nước chợ Lớn,CLW,HOSE
206,CTCP Cấp Nước Thủ Đức,TDW,HOSE
207,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,TCL,HOSE
208,CTCP Phân phối Khí thấp áp Dầu khí Việt Nam,PGD,HOSE
209,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,HAR,HOSE
210,Công ty Cổ phần Cảng Cát Lái,CLL,HOSE
211,CTCP Đầu tư Sài Gòn VRG,SIP,HOSE
212,CTCP Victory Capital (Tên cũ: CTCP Đầu tư Hạ tầng và Đô thị Dầu khí),PTL,HOSE
213,CTCP Hưng Thịnh Incons,HTN,HOSE
214,Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,GSP,HOSE
215,CTCP Vận tải dầu khí Thái Bình Dương,PVP,HOSE
216,CTCP Dịch Vụ Hàng Hóa Sài Gòn,SCS,HOSE
217,CTCP Đầu tư thế giới di động,MWG,HOSE
218,CTCP Sơn Hà Sài Gòn,SHA,HOSE
219,CTCP City Auto,CTF,HOSE
220,CTCP Bất động sản Khải Hoàn Land,KHG,HOSE
221,CTCP Bamboo Capital,BCG,HOSE
222,Công ty cổ phần Đầu tư và Phát triển Bất động sản An Gia,AGG,HOSE
223,CTCP Bán lẻ kỹ thuật số FPT,FRT,HOSE
224,CTCP Đầu tư Nhãn Hiệu Việt,ABR,HOSE
225,CTCP Phục vụ mặt đất Sài Gòn,SGN,HOSE
226,CTCP Tập đoàn cơ khí công nghệ cao SIBA,SBG,HOSE
227,CTCP xi măng VICEM Hải Vân,HVX,HOSE
228,Tổng CTCP Xây Dựng Điện Việt Nam,VNE,HOSE
229,CTCP Cao su Đà Nẵng,DRC,HOSE
230,Tổng CTCP Dệt may Hòa Thọ,HTG,HOSE
231,CTCP Vicem Vật liệu xây dựng Đà Nẵng,DXV,HOSE
232,CÔNG TY CỔ PHẦN ĐẦU TƯ HẠ TẦNG GIAO THÔNG ĐÈO CẢ,HHV,HOSE
233,CTCP Sông Ba,SBA,HOSE
234,CTCP Thủy điện - Điện lực 3,DRL,HOSE
235,Công ty cổ phần Thủy điện Miền Trung,CHP,HOSE
236,CTCP Bất động sản Điện lực miền Trung,LEC,HOSE
237,CTCP địa ốc First Real,FIR,HOSE
238,CTCP COMA 18,CIG,HOSE
239,CTCP Đầu tư xây dựng và phát triển đô thị Thăng Long,TLD,HOSE
240,CTCP Đầu tư Hải Phát,HPX,HOSE
241,CTCP May Sông Hồng,MSH,HOSE
242,CTCP Đầu tư và Thương mại Vũ Đăng,SVD,HOSE
243,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,NHA,HOSE
244,CTCP Khoáng sản Fecon,FCM,HOSE
245,CTCP Nhiệt điện Phả Lại,PPC,HOSE
246,CTCP Nhựa An Phát Xanh,AAA,HOSE
247,CTCP Đầu tư Sản xuất và thương mại HCD,HCD,HOSE
248,CTCP Tập đoàn An Phát Holdings,APH,HOSE
249,CTCP Tập đoàn Hòa Phát,HPG,HOSE
250,CTCP Thuận Đức,TDP,HOSE
251,Công ty Cổ phần Damsan,ADS,HOSE
252,CTCP Chế biến hàng xuất khẩu Long An,LAF,HOSE
253,CTCP Long Hậu,LHG,HOSE
254,Tổng CTCP Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,BIC,HOSE
255,CTCP Đầu tư và Xây dựng Tiền Giang,THG,HOSE
256,Công ty cổ phần TEST,CTES,HOSE
257,Công ty Cổ phần Đông Hải Bến Tre,DHC,HOSE
258,CTCP Xuất nhập khẩu thủy sản Bến Tre,ABT,HOSE
259,CTCP Dược phẩm Bến Tre,DBT,HOSE
260,CTCP Vĩnh Hoàn,VHC,HOSE
261,Công ty CP Dược phẩm Imexpharm,IMP,HOSE
262,CTCP Xuất Nhập Khẩu Y tế Domesco,DMC,HOSE
263,Công ty cổ phần Dược phẩm Cửu Long,DCL,HOSE
264,CTCP Nam Việt,ANV,HOSE
265,CTCP Tập Đoàn Sao Mai,ASM,HOSE
266,CTCP XNK Thủy sản Cửu Long An Giang,ACL,HOSE
267,CTCP Đầu tư Du lịch và Phát triển thủy sản,DAT,HOSE
268,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,CKG,HOSE
269,CTCP Tàu cao tốc Superdong - Kiên Giang,SKG,HOSE
270,CTCP Dược Hậu Giang,DHG,HOSE
271,Ngân hàng TMCP Sài Gòn - Hà Nội,SHB,HOSE
272,CTCP Thủy sản Mekong,AAM,HOSE
273,CTCP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,TSC,HOSE
274,Công ty CP Camimex Group,CMX,HOSE
275,CTCP Thương nghiệp Cà Mau,CMV,HOSE
276,Công ty Cổ phần Phân bón Dầu khí Cà Mau,DCM,HOSE
277,CÔNG TY CỔ PHẦN THỰC PHẨM SAO TA,FMC,HOSE
278,CTCP Đầu tư và phát triển đô thị dầu khí Cửu Long,CCL,HOSE
279,CTCP Tập đoàn Dabaco Việt Nam,DBC,HOSE
280,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,KBC,HOSE
281,CTCP Dầu khí Thái Dương,TDG,HOSE
282,CTCP CMC,CVT,HOSE
283,Tổng CTCP Bảo Minh,BMI,HOSE
284,CTCP Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE
285,CTCP Mía đường Lam Sơn,LSS,HOSE
286,Công ty CP Nafoods Group,NAF,HOSE
287,CÔNG TY CỔ PHẦN THỦY ĐIỆN HỦA NA,HNA,HOSE
288,CÔNG TY CỔ PHẦN MINH HƯNG QUẢNG TRỊ,GMH,HOSE
